AGE,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
13,860243,864976,877028,771206,762043,754376,728307,709233,889810,883870,886736,827851,830390,774753,762992,763044,789889,793050,798530,802720,801224,829880,891193,876639,882626,915349,969105,952370,949418,922316,909494,917672,886582,893889,875964,862576,857736,817540,770849,730399,696314,652076,628352,617356,605909,586881,574009,568672,551697,541883,565951,564359,576103,574651,578284,560460,553021,551938,557633,559950,564733,566121,577668,567956,562296,565648,570184,565035,569063,572003,575758,570894,564617,551324,545384
14,819261,857224,862920,875105,769087,759171,752138,728388,706143,889500,881334,885943,824448,830968,771994,761020,760781,787411,789729,796448,800573,801349,830583,886553,877598,883987,916390,970648,953867,951009,924217,908135,916438,885853,893949,875752,862455,857666,817507,770813,727455,696836,653115,629676,618986,609077,589935,576986,571831,555592,544761,568358,566610,578992,578169,582015,566019,558684,556355,561392,563250,566488,567354,578507,568077,562006,565934,571168,565871,573180,574688,577971,573645,566971,554266
15,787894,814695,854161,860918,870524,766311,756415,751069,728257,704862,886570,875689,884544,820933,831204,768828,758097,758675,785347,786728,794467,800473,801409,831233,881805,878508,885236,917373,972174,955248,952298,922718,906925,915384,885271,894180,875718,862410,857636,817472,769942,727672,697305,654246,631450,621477,612700,592843,579983,575283,559012,547025,570882,569709,582731,581012,587212,571616,563539,560238,564605,565211,567577,568252,579057,567907,562182,566861,572210,570115,575894,576880,580945,576110,570152
16,827650,782619,812337,851273,856394,866437,763868,754506,748803,728668,701586,881355,870396,884118,816714,831823,765336,755028,755590,782790,783523,794089,800301,801447,831778,876996,879343,886441,918260,973541,956239,950779,921397,905855,914491,884869,894533,875779,862376,857530,818411,769984,727929,697808,655635,634161,624356,616062,595724,583162,578356,559983,549909,574567,573866,585817,585422,592699,576646,567923,563391,566829,566463,568447,569082,579513,568641,563617,568006,574780,572808,578392,580240,584176,579896
17,804822,821828,780933,808507,846144,850757,862828,761923,753958,748809,727899,696971,875941,864083,882955,812732,832792,762066,752798,753231,780436,782942,793688,800127,801404,832321,872153,880154,887507,918986,974496,954696,949328,920185,904845,913728,884541,894936,875809,862281,862001,818243,770115,728173,698404,657818,637160,627117,619446,598871,586101,579525,561513,554212,579441,577712,590672,590575,597942,581230,571802,566265,568311,567946,569765,570420,581989,570790,565389,569673,580417,576342,583026,585667,588694
18,815081,800012,817270,776449,803345,840839,847282,858638,762465,752341,745765,722372,691464,870253,858625,881639,808437,833383,758148,750029,750126,779635,782281,793262,799887,801255,832777,867243,880886,888512,919463,972657,953032,947887,918882,903999,913128,884557,896124,876414,868388,861091,818300,770270,728430,699485,660304,640122,630085,623115,601777,588055,582069,566152,560832,585235,584895,598015,597142,604124,586324,575809,568901,570728,570722,575369,579330,586873,574707,566163,569708,586339,583460,590659,590961
19,797580,808580,797186,812894,773556,797554,835885,841914,858717,761218,750728,739995,716313,685975,864747,852592,880256,804610,833417,755054,746736,749261,778822,781666,792751,799642,801136,833278,862279,881547,889383,917523,970925,951466,946539,917793,903399,912855,884947,898022,883904,867141,860725,818471,770467,729175,700716,662800,643277,633148,626198,602618,591807,585495,569759,566346,594830,594316,605884,603863,610128,591398,579167,572067,574614,577538,587285,585535,590744,576282,567290,577155,593590,591066,596915
20,817198,791172,805107,793153,806116,767638,792254,831078,842192,856099,760396,744559,734287,710854,681499,858995,846610,879554,800374,833795,751723,746103,748454,778136,781056,792291,799409,801051,833714,857325,882005,887721,915561,969316,949958,945335,916831,902997,912845,885689,905220,882468,866661,860442,818744,771366,730206,702093,665708,647030,635651,626170,607321,595956,587868,572335,578058,605312,602480,612576,609674,615775,594700,581875,575189,580173,585466,592118,587458,592909,575636,573782,583987,601038,598369
21,866301,811581,787293,800010,787406,798984,762821,787317,829521,839274,853827,755225,738914,728960,705607,675580,853431,841236,878718,796805,833351,751038,745515,747707,777372,780439,791856,799268,800946,834121,852070,879976,885886,913336,967534,948413,944195,915986,903013,913327,894265,903369,881886,866253,860148,819849,772471,731340,703813,669154,650257,635305,632583,612255,599074,590835,584140,590437,614206,610542,618718,615920,619721,596841,584654,580454,587622,590127,593017,588045,588503,581848,580299,592318,609156
22,797840,859944,808058,783322,793506,781947,791749,758078,785482,826407,836475,850056,749701,732545,723169,700390,671026,848288,835689,877568,792861,827859,750420,744933,746900,776618,779864,791443,799059,800793,834368,849736,877845,884054,911179,965926,947041,943323,915495,903641,922245,892841,902532,881481,865710,860535,821223,773620,732861,706273,672028,650621,643386,639224,615714,603119,604671,596519,600267,623820,618115,625991,620480,622716,599431,588669,586266,591595,590999,593757,583508,595721,586922,587370,601596
23,808155,791792,856109,803666,776851,786898,776963,786224,756147,781722,822848,833430,846535,744365,726843,717421,694498,666009,842298,829859,875637,792762,822379,749852,744332,746144,775875,779276,791000,798840,800455,832246,847479,875814,882347,909180,964597,945981,942864,915453,912657,921002,892265,901844,880872,865906,861058,822571,775127,734885,708394,673909,661507,651548,643217,620124,618260,618142,606267,611599,632527,626323,631701,623610,625753,603268,594005,590504,592782,590841,588775,590811,601703,593554,597393
24,812068,801498,788263,850544,797166,771423,779601,772085,782294,752077,777462,817547,829821,842846,739141,720662,711953,689361,660873,836898,824372,871771,792665,817064,749248,743739,745353,775218,778723,790521,798401,798537,830316,845326,874000,880931,907429,963654,945399,942977,923874,911273,920492,891775,900964,881100,866170,861453,824137,777167,736842,711755,687440,671445,655410,647284,634739,632707,628144,616494,620643,641705,632953,635226,626406,629620,607703,597963,591632,591788,586919,596182,597448,609750,604252
