age,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
13,-2601,-1564,-410,-2369,-1848,-1311,-785,-1763,-943,-2579,-3502,659,-3777,-3098,-2775,-1990,-3398,-1515,-2003,-1539,761,-4627,1016,1381,1074,1650,1561,1673,2239,1713,-1410,-904,-170,-318,-235,-130,-62,-63,92,-5549,1233,1337,1347,2127,2821,3166,3302,3708,2735,3916,2078,2240,3471,4689,3920,5886,5275,4262,4170,3242,2167,1225,252,50,-373,-48,557,487,3978,2695,2018,2661,2452,2938
14,-3019,-2056,-1923,-2119,-2872,-2238,81,-3090,-310,-2536,-793,-3403,578,-2759,-1972,-2263,-2478,-3321,-2082,-2147,125,703,-4640,959,1361,1041,1543,1497,1591,1901,-1359,-1234,-729,60,-212,-121,-70,-33,-36,-2944,522,1039,1324,1630,3168,3054,2977,3159,3895,2878,2407,2251,2889,3518,3731,5559,5663,4417,3759,3300,1755,1233,839,121,-290,286,984,836,4117,2685,2213,2751,2354,2942
15,-4566,-3063,-2002,-4581,-2776,-2756,-1069,-131,-1281,-2930,-5645,-1399,-3515,236,-3166,-2923,-2106,-2064,-3001,-1981,-100,60,650,-4748,910,1249,983,1526,1381,1289,-1499,-1210,-1054,-582,231,-34,-45,-30,-35,-871,217,469,1131,1774,2491,3623,2908,2997,3452,3420,2264,2524,3099,3739,2843,5197,5597,4855,3883,3213,1961,1089,898,550,-170,176,927,1042,4244,2714,2192,2974,2465,3181
16,-5275,-2358,-2888,-4524,-4087,-2443,-1909,-2266,411,-3276,-5215,-5293,-426,-4219,619,-3492,-3069,-3085,-2557,-3205,-378,-172,38,545,-4809,835,1205,887,1367,991,-1519,-1321,-1070,-893,-402,353,61,-34,-106,939,42,257,503,1389,2711,2879,3362,2881,3179,3073,971,2884,3685,4157,3086,4410,5487,5030,4384,3153,2224,1252,870,830,456,734,1435,1145,2570,2693,2498,3360,3231,3786
17,-5822,-1686,-3830,-5129,-5637,-3609,-1945,-548,6,-769,-4615,-5414,-6313,-1163,-3982,969,-3270,-2230,-2359,-2354,-581,-401,-174,-43,543,-4843,811,1066,726,955,-1543,-1451,-1212,-1010,-763,-328,403,30,-95,4471,-168,131,244,596,2183,2999,2761,3384,3147,2939,1169,1530,4303,4874,3846,4855,5153,5243,4584,3879,2874,1482,1483,1318,1338,2476,2149,1772,1667,5637,3534,4634,5427,4518
18,-4810,-4558,-4484,-5162,-5305,-3475,-4190,542,-1617,-3044,-5527,-5507,-5688,-5458,-1316,-4295,591,-3918,-2769,-3105,-801,-661,-426,-240,-149,456,-4910,732,1005,477,-1839,-1664,-1441,-1303,-846,-600,16,1188,605,6107,-910,57,155,257,1081,2486,2962,2968,3669,2906,1954,2544,4639,6620,5794,7183,7343,6567,6182,5094,4007,2636,2417,2776,5604,8910,4884,3917,774,35,5922,7118,7633,5294
19,-6501,-2826,-4376,-2893,-5791,-4954,-5368,79,-1247,-1613,-5770,-6059,-5489,-5506,-6033,-1383,-3827,34,-3094,-3293,-865,-813,-615,-511,-245,-119,501,-4964,661,871,-1940,-1732,-1566,-1348,-1089,-600,-273,390,1898,7490,-1247,-366,171,197,745,1231,2496,3155,3063,3083,841,3752,3426,3607,5514,9595,9421,7869,6721,6004,5074,3358,3166,3886,6816,11916,6205,3871,1575,1127,7447,7251,7606,6256
20,-6408,-3473,-4033,-6778,-5918,-5300,-4807,278,-2618,-822,-6169,-5708,-5459,-4476,-5752,-5982,-702,-4236,378,-3331,-633,-807,-686,-610,-460,-233,-85,436,-4954,458,-1662,-1962,-1609,-1508,-1204,-962,-402,-10,742,7198,-1436,-480,-283,273,899,1031,1377,2908,3753,2503,-28,4703,4149,2373,2576,11712,10482,8164,6692,5811,5647,3302,2708,3122,5559,7928,4833,1923,2165,-646,6492,6832,7448,7303
21,-5617,-3879,-5097,-5747,-7132,-4817,-4937,-1557,-2918,-2272,-5171,-5645,-5327,-5247,-5919,-5564,-5374,-836,-3569,-444,-685,-588,-747,-764,-617,-435,-141,-105,407,-5255,-2029,-1835,-2225,-1782,-1545,-1140,-845,16,482,8576,-1851,-582,-408,-294,1105,1105,1134,1720,3446,3227,-346,6413,4934,3118,2967,11805,12379,8894,8062,6142,6246,3946,2141,2779,5265,7449,4661,899,587,-4406,6212,6517,8331,8118
22,-6357,-3523,-3971,-6504,-5459,-7235,-4743,-1835,-3114,-2799,-3771,-5524,-6369,-5791,-5217,-4554,-5143,-5547,-1150,-3944,-5492,-618,-582,-807,-754,-575,-413,-209,-153,247,-2334,-2131,-1832,-2157,-1608,-1372,-872,-491,628,8918,-1424,-837,-405,-543,387,1374,1149,1521,2460,2874,364,8081,6641,3459,4045,13836,12379,9830,9614,7573,7273,4560,2995,2590,4015,5812,3973,872,740,-4537,7218,5074,7071,9278
