age,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
44,-3748,-3212,-3549,-4999,-3064,-3982,-3348,-4345,-2064,-2208,-2121,-2791,-1912,-3634,-4215,-3821,-1670,-4436,-3066,-3286,-1273,-1396,-3718,-1258,-1134,-1092,-1408,-1505,-4560,-1039,-2701,-2572,-2116,-1635,-1576,-1608,-1280,-889,-1278,3633,-2269,-1573,-1435,-1297,-1430,-1321,-1807,-1389,-1509,-1465,1714,6527,4863,1382,1432,5884,5050,2263,2626,1693,2885,1422,-489,-989,-1086,-986,148,-637,-2633,987,2975,2567,2368,3038
45,-2920,-3556,-2886,-3339,-3361,-4415,-3568,-2762,-3579,-2338,-2346,-1382,-1863,-1807,-4016,-4210,-4129,-2749,-4061,-3950,-1633,-1521,-1471,-3897,-1402,-1306,-1155,-1638,-1731,-5022,-2721,-2708,-2547,-2120,-1690,-1538,-1520,-1212,-951,3391,-2396,-2007,-1853,-1393,-1214,-1449,-1533,-1949,-1318,-1327,1691,6170,4563,1289,493,5333,4177,2747,2757,672,2378,1498,-742,-1205,-1296,-1316,19,-1117,-2351,1104,2574,2676,1997,2440
46,-3514,-3806,-3155,-3285,-3946,-3710,-2627,-2790,-3371,-3936,-2723,-2885,-2887,-3658,-3215,-4236,-5093,-3972,-2695,-3871,-1371,-1832,-1761,-1700,-4106,-1476,-1395,-1397,-1735,-2022,-2948,-2759,-2684,-2446,-2206,-1594,-1544,-1522,-1139,2050,-2851,-2266,-2494,-1991,-1484,-1316,-1548,-1647,-1873,-1286,887,6137,4498,1635,912,4795,3584,1911,2887,683,1686,1134,-1031,-1325,-1461,-1387,-362,-1142,-3061,1067,2301,2108,1863,1904
47,-3398,-2482,-3166,-3862,-4153,-4759,-2594,-3860,-4328,-3904,-4279,-4390,-2150,-2249,-2151,-2066,-4449,-4477,-4831,-2235,-2001,-1720,-2283,-1996,-2004,-4421,-1701,-1549,-1583,-2044,-3014,-2848,-2696,-2663,-2450,-2161,-1707,-1555,-1552,1764,-1875,-2446,-2675,-2581,-2165,-1574,-1550,-1716,-1637,-1925,493,4896,4500,1499,868,4651,3200,1585,2132,769,1440,220,-1111,-1465,-1704,-1658,-678,-1227,-3371,1078,1912,1842,1436,1462
48,-3667,-3530,-3731,-3624,-4447,-3728,-3311,-3894,-4543,-3401,-3713,-3055,-3368,-3112,-3331,-2857,-2646,-4976,-5434,-4250,-3905,-2201,-1984,-2383,-2313,-2081,-4562,-2035,-1854,-1857,-3204,-3086,-2804,-2777,-2661,-2514,-2162,-1658,-1568,1539,-2158,-1830,-2946,-2849,-3070,-2325,-1658,-1565,-1665,-1750,456,4098,3138,1527,917,4840,3290,1364,1816,431,1014,-110,-1520,-1636,-1669,-1623,-891,-1165,-3670,1497,1672,1596,1136,1132
49,-3808,-3557,-3808,-3684,-4309,-4320,-4399,-4898,-3281,-3901,-5253,-5269,-4284,-2840,-2502,-2330,-3276,-3483,-4472,-5342,-2291,-4146,-2424,-2282,-2822,-2428,-2404,-4938,-2263,-2308,-3438,-3249,-3102,-2725,-2757,-2685,-2478,-2200,-1688,1596,-2251,-2081,-2048,-3284,-3541,-3124,-2353,-1832,-1585,-1903,186,3654,2555,795,1136,4390,3228,1120,1324,69,754,-167,-1811,-1999,-1678,-1809,-1292,-1327,-4177,1323,1676,1291,785,554
50,-4367,-4473,-3746,-4246,-4089,-4794,-4378,-3654,-4431,-3123,-5709,-4797,-4566,-5097,-4389,-3192,-2925,-3183,-3520,-4939,-2283,-2495,-4465,-2814,-2704,-2971,-2814,-2676,-5110,-2646,-3682,-3657,-3236,-3074,-2850,-2736,-2715,-2666,-2283,1407,-2647,-2198,-2391,-2199,-3701,-3657,-3234,-2663,-1892,-1979,-689,3072,2323,454,239,4146,3022,1305,1347,-105,626,-351,-2055,-2204,-2025,-1942,-1357,-1520,-4812,1286,1165,948,610,60
51,-3596,-3861,-3537,-3901,-4963,-4455,-4452,-4840,-4848,-4989,-3244,-4460,-5675,-5902,-4977,-3498,-3100,-3475,-4279,-3463,-2609,-2604,-2894,-4896,-3218,-2847,-3285,-3065,-2915,-5203,-4084,-3689,-3567,-3422,-3113,-2908,-2741,-2760,-2506,1956,-2597,-2600,-2571,-2577,-2429,-3846,-3703,-3342,-2660,-2220,-952,1969,1803,127,97,2981,3093,1278,1308,-162,382,-690,-1820,-2639,-2306,-2198,-1488,-1971,-5745,1454,891,777,91,-165
52,-4269,-3754,-4005,-5005,-4616,-4532,-4410,-4745,-4866,-4348,-4323,-3545,-5719,-5845,-4915,-4330,-4921,-4022,-2583,-3477,-5618,-2856,-2888,-3337,-5252,-3469,-3250,-3631,-3309,-3375,-4563,-4248,-3685,-3670,-3344,-3235,-2838,-2900,-2745,1687,-3071,-2641,-2782,-2647,-2940,-2562,-4181,-4020,-3567,-2853,-1251,1262,580,-284,-313,2353,2025,1549,1230,-202,202,-900,-2211,-2555,-2477,-2694,-1886,-1898,-6727,1513,485,470,-96,-409
53,-4563,-3308,-4002,-4244,-4705,-5972,-4710,-4568,-4644,-4798,-3284,-3733,-3752,-6052,-6195,-5468,-5609,-4302,-3426,-3349,-2360,-6041,-3266,-3367,-3765,-5414,-3586,-3486,-3909,-3847,-4883,-4842,-4324,-3749,-3665,-3589,-3163,-2994,-2894,1089,-3362,-3289,-2915,-2938,-2828,-3121,-2719,-4332,-4070,-3765,-780,664,277,-1176,-674,1560,1427,479,1442,-206,-186,-1225,-2056,-2526,-2531,-2737,-2124,-2187,-6916,1473,355,-108,-436,-586
54,-3879,-4730,-3621,-4318,-5163,-5176,-5081,-5708,-4793,-5734,-3736,-3065,-4868,-4428,-6379,-6200,-7041,-6016,-5004,-3390,-2282,-2596,-6379,-3680,-3835,-4003,-5841,-3985,-3745,-4067,-5164,-5314,-4895,-4422,-3895,-3896,-3625,-3249,-3037,78,-3917,-3510,-3480,-2931,-3303,-3085,-3195,-2929,-4300,-3945,-737,904,-341,-1369,-1446,825,824,29,348,-309,-523,-1234,-2509,-2893,-2859,-2757,-2521,-2176,-7839,1281,155,-329,-612,-1194
55,-4829,-4704,-4667,-4131,-5623,-4902,-5276,-4372,-5382,-5280,-3833,-3949,-3850,-5162,-3713,-6709,-6826,-6891,-6096,-4884,-2330,-2448,-2808,-6870,-3960,-3915,-4385,-6229,-4489,-4222,-5636,-5702,-5255,-5059,-4684,-4094,-3881,-3680,-3539,6,-3829,-3962,-3858,-3720,-3238,-3523,-3216,-3453,-3022,-4326,-614,516,-70,-1837,-1806,-228,455,-226,-117,-951,-860,-1451,-2630,-3019,-2935,-2739,-2577,-2192,-8116,1901,-212,-761,-1098,-1654
56,-6050,-4080,-4960,-5645,-4511,-4742,-5308,-5126,-5947,-5867,-4013,-4518,-4448,-3983,-5663,-5443,-7198,-7158,-6094,-5975,-3101,-2606,-2681,-3219,-7507,-4450,-4402,-4702,-6587,-4841,-6447,-6070,-5673,-5473,-5309,-4767,-4207,-4107,-3729,-252,-4205,-4099,-4174,-4172,-3831,-3396,-3712,-3506,-3607,-3288,-1197,359,-263,-1508,-2134,-845,-581,-598,-534,-1210,-1190,-1769,-2930,-3129,-3099,-2883,-2618,-2539,-8907,1491,-748,-1122,-1393,-2121
57,-5235,-4567,-5717,-4938,-4984,-4899,-5716,-5650,-6217,-5950,-4291,-3911,-3669,-4667,-4605,-6087,-5246,-7598,-7708,-7330,-4869,-3449,-2866,-3100,-3632,-7747,-4878,-4825,-5318,-7044,-6637,-6609,-6181,-5914,-5637,-5427,-4923,-4196,-4254,-763,-4334,-4311,-4512,-4633,-4242,-4253,-3681,-3921,-3686,-3773,-1888,-555,-333,-1609,-1673,-1516,-1502,-1810,-1016,-1615,-1712,-2370,-3017,-3421,-3329,-3189,-2904,-2643,-8362,1361,-1217,-1202,-1868,-2439
58,-5321,-5311,-5343,-5371,-6664,-6527,-5498,-5449,-6231,-6612,-4759,-4282,-5175,-5421,-4587,-5040,-6570,-6609,-8345,-7949,-5311,-5352,-3844,-3138,-3157,-3873,-8082,-5197,-5357,-5453,-7264,-6936,-6611,-6596,-6125,-5766,-5535,-5059,-4514,-1090,-4826,-4689,-4415,-4937,-5007,-4506,-4494,-3922,-4085,-3846,-1862,-1520,-1090,-1534,-2031,-1295,-1519,-1980,-1788,-2030,-2036,-2817,-3376,-3618,-3552,-3641,-3125,-2955,-9112,522,-1304,-1721,-1940,-2840
59,-5041,-5253,-5261,-5569,-6519,-6228,-6514,-4497,-5828,-7035,-4181,-5308,-5193,-5090,-5614,-5198,-5855,-7505,-6148,-8112,-5934,-5837,-5687,-4332,-3496,-3364,-4094,-8565,-5730,-6919,-7800,-7698,-7078,-6919,-6592,-6238,-5786,-5604,-5260,-1610,-5367,-5063,-4963,-4752,-5392,-5241,-4837,-4677,-4040,-4436,-2314,-1704,-2052,-2105,-1923,-1706,-1487,-2428,-2169,-2599,-2318,-2965,-3595,-3967,-3932,-3639,-3542,-3032,-9437,-139,-1728,-2432,-2512,-3155
60,-7005,-5925,-5759,-6933,-6443,-6946,-6382,-6392,-5089,-6100,-5250,-4798,-5202,-5700,-5250,-5424,-7100,-7486,-7129,-7062,-7071,-6592,-6487,-6501,-4823,-3705,-3701,-4506,-9370,-7832,-8074,-8045,-7767,-7554,-7198,-6978,-6470,-5994,-6048,-2551,-6019,-5658,-5483,-5307,-5283,-5607,-5545,-5278,-4823,-4570,-2777,-2047,-2037,-2636,-2441,-1889,-1857,-2308,-2904,-2931,-2820,-3253,-3793,-4314,-3951,-4106,-3586,-3389,-9513,-887,-1869,-2734,-2799,-3801
61,-6223,-6089,-6007,-5621,-6893,-7380,-6567,-6520,-7434,-6684,-4730,-6538,-4846,-5804,-6379,-6770,-6410,-7488,-6491,-8065,-9219,-7564,-7250,-7118,-7074,-5165,-4095,-4030,-4908,-7592,-8814,-8672,-8180,-8199,-7664,-7458,-7223,-6511,-6303,-2809,-6415,-6208,-5961,-5898,-5489,-5563,-5887,-5933,-5381,-5217,-3209,-3042,-2669,-2756,-3019,-2558,-2137,-2704,-2876,-3348,-3318,-3738,-3995,-4708,-4402,-4593,-4148,-3449,-10189,-1479,-2439,-3066,-3102,-4417
62,-7260,-6908,-6133,-6216,-7369,-7661,-7303,-7334,-7251,-7751,-5534,-6068,-5743,-6071,-6651,-6187,-6468,-8206,-7403,-7846,-9798,-9797,-7980,-8104,-7683,-7436,-5405,-4384,-4392,-3573,-9752,-9407,-8763,-8613,-8334,-7907,-7684,-7325,-6894,-3725,-7559,-6647,-6358,-6611,-6401,-6048,-5853,-6275,-6229,-5921,-3947,-3675,-3529,-3719,-3159,-3159,-2824,-2918,-3149,-3592,-4162,-4179,-4528,-4749,-4558,-4841,-4271,-4086,-10544,-2180,-2548,-3427,-3351,-4522
63,-7722,-7204,-6705,-7332,-8203,-7546,-8146,-6686,-8047,-7566,-8820,-7409,-5443,-7242,-6864,-7139,-7541,-8205,-7683,-8548,-11072,-10880,-10403,-8968,-8896,-8234,-8170,-5938,-4768,-3404,-7405,-10351,-9477,-9050,-9010,-8691,-8324,-7843,-7617,-4620,-7502,-7938,-7157,-6710,-6694,-6737,-6364,-6012,-6590,-6303,-4156,-4522,-3990,-4050,-3524,-3309,-3121,-3446,-3299,-4266,-4678,-5145,-5032,-5007,-4769,-4862,-4658,-4461,-10830,-2770,-3391,-3791,-3765,-4748
64,-8183,-7896,-6810,-6912,-8629,-8430,-6989,-6811,-9041,-8558,-9075,-9109,-6594,-7381,-7170,-6648,-7727,-8616,-8182,-8280,-12308,-11870,-11358,-11463,-9620,-9013,-8618,-8407,-6458,-5686,-6091,-7653,-10377,-9868,-9301,-9320,-8914,-8572,-8119,-5396,-8411,-8029,-8467,-7317,-7164,-7401,-7139,-6680,-6297,-6567,-4214,-4645,-5017,-4697,-4372,-4088,-3323,-3878,-4043,-4459,-5521,-5593,-5630,-5796,-5230,-5345,-5110,-4623,-10567,-3274,-3578,-4344,-4197,-5307
65,-8817,-7896,-7608,-8219,-8714,-8650,-8163,-7954,-9101,-8323,-9032,-9659,-9915,-7094,-6381,-7978,-7746,-9578,-8415,-8967,-12092,-13222,-12482,-12585,-12060,-10145,-9676,-9288,-9382,-8184,-6825,-6597,-7880,-10805,-10272,-9653,-9489,-9266,-8819,-6184,-9384,-9044,-8408,-8915,-7915,-7699,-7989,-7416,-7035,-6767,-4033,-4680,-4944,-5442,-4684,-4406,-3977,-4168,-4292,-5035,-6077,-6470,-6005,-6269,-5754,-5662,-5311,-5040,-10326,-3987,-4010,-4854,-4491,-5730
66,-8656,-8767,-9016,-8857,-8327,-9197,-9711,-7959,-8711,-8325,-10550,-10954,-9820,-10589,-8240,-7533,-8745,-9405,-8824,-9484,-13170,-12948,-14014,-13622,-13367,-12479,-10703,-10134,-10243,-9979,-8878,-7206,-6469,-8255,-11384,-10457,-10040,-9702,-9497,-6672,-10203,-9981,-9372,-9121,-9519,-8186,-8123,-8187,-7717,-7376,-5678,-4724,-5050,-5890,-6103,-5259,-4562,-4633,-4464,-4638,-6808,-7025,-7046,-6821,-6313,-5696,-5490,-5199,-10460,-4667,-4660,-5365,-4845,-6270
67,-9882,-9276,-9119,-8524,-10411,-10553,-9511,-8145,-9381,-9058,-10153,-11400,-10368,-11327,-10781,-8690,-9323,-10904,-8654,-9629,-13586,-13771,-13512,-15138,-14277,-13702,-12966,-11859,-11256,-11315,-12038,-9432,-7141,-6751,-8318,-11588,-10779,-10360,-10568,-7659,-10607,-10729,-10642,-10093,-9562,-9755,-9029,-8616,-8352,-8151,-6588,-6426,-5364,-6316,-6525,-6516,-5599,-5498,-5667,-5163,-5970,-7994,-7419,-7905,-7287,-7009,-6320,-5957,-10881,-5990,-5351,-6007,-5922,-6533
68,-9022,-9733,-8772,-10011,-10156,-10207,-9017,-9942,-9767,-9304,-10705,-10512,-10927,-11981,-10982,-11755,-9086,-9891,-9880,-9448,-14275,-14699,-14518,-14782,-15790,-14812,-14410,-13922,-12644,-11982,-13232,-12799,-9585,-7613,-7049,-8408,-11835,-11082,-10909,-8534,-11589,-11176,-11129,-11316,-10659,-10037,-10748,-9434,-9041,-8953,-6914,-7404,-6887,-6310,-6809,-7165,-6681,-6521,-6313,-6023,-6685,-6904,-8596,-8610,-8346,-7567,-7392,-6474,-6871,-4730,-5572,-6395,-6304,-6946
69,-9200,-10534,-10020,-10011,-11459,-11459,-11046,-9832,-9932,-10225,-11303,-10999,-10538,-12183,-11797,-11525,-12716,-11330,-9885,-11289,-13942,-15468,-14999,-15759,-15444,-16409,-15623,-14901,-14976,-12678,-14749,-14367,-12908,-9985,-7790,-7004,-8656,-12263,-11631,-9324,-11992,-12074,-11810,-11887,-11885,-11277,-10571,-11190,-9702,-9398,-7827,-7987,-8050,-7686,-6624,-7306,-7413,-7843,-7161,-6775,-7505,-7590,-7054,-9531,-8842,-9034,-8118,-7337,-6917,-9642,-6735,-6117,-6157,-7552
70,-10787,-11124,-10362,-11090,-11580,-11688,-10803,-10012,-10326,-10648,-11408,-11825,-11445,-12080,-12606,-12525,-12987,-14857,-11180,-10231,-15227,-15139,-15847,-16463,-16214,-16114,-16995,-16062,-16167,-15569,-15412,-15710,-14526,-13554,-10125,-7957,-7319,-8844,-12633,-10661,-12924,-12676,-12742,-12382,-12654,-12643,-12331,-10971,-11360,-10101,-8879,-9013,-8371,-8935,-8210,-7408,-7780,-8426,-8662,-7473,-8210,-8668,-8000,-8038,-9733,-9731,-9344,-8172,-7958,-10529,-7478,-7532,-7844,-8329
71,-11425,-11507,-10433,-11694,-12343,-12179,-11430,-10752,-11716,-10906,-12891,-12944,-11611,-12339,-12185,-13249,-14506,-14777,-13789,-11457,-15984,-16331,-15531,-17135,-17270,-16844,-16593,-17585,-17278,-16709,-15719,-16484,-15633,-15287,-14080,-10390,-8165,-7538,-9198,-11819,-13454,-13528,-13433,-13430,-13107,-13489,-13515,-12552,-11391,-11886,-10296,-10346,-9434,-9355,-9067,-8855,-7837,-8805,-9353,-9107,-9092,-9150,-8765,-8734,-8276,-10684,-10224,-9271,-9171,-11494,-8542,-8456,-8215,-9047
72,-11095,-12435,-11309,-11415,-12991,-13628,-12322,-12099,-12276,-11748,-12065,-13006,-12651,-13358,-11943,-12148,-14712,-14973,-14130,-14275,-17678,-16977,-16961,-16747,-18036,-17551,-17293,-17117,-18875,-18246,-16839,-16509,-16753,-16473,-15478,-14167,-10711,-8378,-7850,-9482,-14796,-14122,-14263,-14114,-14105,-13817,-14487,-14003,-12761,-11856,-11695,-11743,-10481,-10542,-9915,-10136,-9269,-9177,-9709,-9887,-10774,-10082,-9405,-10068,-9225,-9162,-11442,-10066,-10472,-12413,-9834,-9291,-9092,-9219
73,-12390,-11187,-11371,-11431,-13376,-13305,-12063,-10675,-13236,-11826,-13697,-12404,-13211,-14059,-13510,-14227,-14246,-15585,-14976,-14394,-14576,-18933,-17578,-18432,-17718,-18245,-18151,-18217,-18343,-18402,-17052,-18374,-16682,-17511,-17037,-15808,-14503,-11315,-8889,-8334,-10106,-15683,-14897,-15064,-14941,-14837,-14980,-14790,-14273,-13290,-11787,-13017,-12090,-11793,-11314,-10549,-10611,-10689,-9695,-10496,-11792,-11895,-10389,-11012,-10455,-10388,-9475,-11363,-11540,-13930,-10722,-10711,-9624,-9944
74,-12674,-12546,-11554,-12321,-13419,-12762,-13044,-12453,-13481,-13605,-14997,-15458,-12629,-14488,-13807,-14617,-14475,-16158,-15563,-14461,-14304,-15703,-19189,-18648,-18698,-17937,-18717,-18511,-19289,-18756,-18319,-18402,-18185,-17628,-18427,-17130,-16420,-15087,-11790,-9487,-8631,-10818,-16241,-15674,-15722,-15661,-15908,-15504,-15283,-14573,-12570,-13544,-13472,-13070,-12056,-11932,-11623,-11902,-11423,-10947,-12726,-12740,-12329,-11846,-11321,-11407,-10831,-9694,-12787,-14633,-12748,-11513,-11231,-10972
75,-12182,-13807,-12409,-12193,-15001,-14305,-13345,-12019,-14023,-12136,-15077,-14811,-14252,-13600,-14415,-14872,-15163,-15503,-14171,-15539,-15197,-15753,-16000,-20887,-19318,-19237,-18068,-19386,-20069,-19837,-17852,-19630,-18270,-19451,-17904,-18291,-17840,-16377,-15924,-11971,-9517,-9056,-11366,-17058,-15990,-16567,-16883,-16509,-15723,-15475,-12880,-14415,-13560,-14917,-13617,-13277,-12921,-12821,-12829,-11681,-12904,-13674,-13135,-14232,-12335,-12501,-12019,-10923,-11337,-16053,-13905,-13292,-12364,-12683
76,-13804,-14316,-12125,-11978,-13396,-13728,-12943,-12176,-15232,-13956,-14722,-15466,-14323,-16265,-13228,-14612,-14828,-16781,-15195,-14885,-15375,-16430,-16054,-17455,-21265,-19552,-19521,-18552,-20623,-19849,-18315,-19148,-19238,-19370,-19572,-18319,-18514,-18088,-17532,-15169,-12878,-10206,-9462,-11685,-18044,-17202,-17878,-17652,-17254,-16355,-14357,-14921,-14488,-14815,-15504,-14940,-13973,-14161,-13888,-13498,-13656,-13858,-14357,-15318,-14624,-13807,-12961,-11948,-12880,-13898,-15371,-14508,-13978,-14294
77,-14510,-15214,-11832,-12327,-15605,-12200,-14128,-12642,-14155,-13229,-15422,-14787,-14893,-15845,-15379,-13217,-16161,-16746,-15459,-15255,-15054,-16413,-16593,-17425,-17939,-21176,-19790,-19759,-19611,-19536,-18467,-19613,-18573,-20454,-19300,-19754,-18847,-18753,-18937,-16947,-17151,-13845,-10547,-9717,-12151,-18983,-18455,-18480,-18118,-17489,-15826,-16205,-14520,-15859,-15515,-16636,-16194,-15609,-14818,-14719,-15251,-14464,-14756,-16649,-15827,-16579,-14457,-13159,-14676,-15180,-13624,-16134,-15261,-15655
78,-13136,-14759,-12630,-12483,-15042,-13443,-13376,-12440,-14126,-12680,-15451,-15104,-14032,-17359,-16480,-16466,-15277,-16393,-15981,-15782,-15342,-16232,-16225,-17674,-17352,-17958,-21336,-19954,-20667,-19953,-18718,-19607,-18664,-19392,-20489,-19628,-20079,-18978,-19845,-18426,-18608,-18084,-14303,-10918,-10136,-12920,-20182,-19085,-18769,-19489,-16001,-17734,-16386,-16397,-16429,-16415,-17808,-17541,-16528,-15773,-16624,-16264,-15116,-17032,-16820,-17834,-16989,-14447,-16159,-16848,-15196,-13782,-16846,-16748
79,-12733,-12455,-12958,-13981,-15429,-13206,-13416,-11768,-14194,-13119,-15561,-17224,-15167,-15203,-14759,-15247,-16671,-15382,-17135,-15751,-15831,-16746,-15838,-17587,-18007,-17271,-17782,-21480,-20886,-19832,-18092,-20134,-18603,-19935,-19384,-20322,-19788,-20148,-19439,-19111,-19732,-19660,-18631,-14686,-11690,-10552,-13483,-20598,-19476,-19432,-18834,-18222,-17413,-17654,-16944,-17833,-18103,-19583,-18310,-17294,-17831,-17614,-17351,-17904,-17243,-19046,-18714,-17792,-17652,-18342,-17045,-15440,-14369,-18934
80,-34797,-32693,-18188,-37046,-40866,-35771,-28701,-30742,-23654,-27152,-34448,-27817,-35334,-28293,-15299,-32620,-30785,-39298,-31602,-21290,-20175,-22669,-17231,-18944,-27284,-31340,-28856,-30383,-41640,-22582,-18705,-18980,-19251,-19657,-19923,-19323,-21043,-20108,-21277,-18627,-21154,-21188,-20214,-19299,-14952,-11937,-11384,-14034,-21186,-22241,-19035,-21054,-19140,-19690,-18270,-18726,-19591,-19305,-21135,-19057,-19127,-19220,-18576,-19978,-17879,-19421,-19940,-19238,-22084,-19651,-18494,-17384,-16537,-15977
81,-10789,-7617,2850,-9747,-7415,-11579,-2209,-7666,-5088,-1570,-17637,-5393,-10491,-5920,-6210,-18151,-10165,-15306,-12109,1006,-11208,-13049,-13474,-15919,-14209,-12574,-11917,-10094,-9681,-5027,-17525,-20012,-17656,-19629,-19606,-19228,-19468,-20575,-20673,-20940,-20395,-22149,-21237,-20557,-19754,-15519,-12617,-11529,-14077,-21624,-20380,-22021,-21425,-20756,-20075,-20329,-20960,-21017,-20899,-22482,-20841,-19959,-19954,-21139,-20187,-20235,-20472,-20558,-23426,-23375,-20244,-18856,-18334,-18247
82,-9823,-7171,429,-8728,-7493,-10324,-3495,-7543,-6162,-3411,-15548,-6618,-9962,-7106,-7584,-16309,-11043,-14397,-11924,-93,-11554,-13238,-14362,-15477,-13567,-12129,-12035,-11152,-9532,-11440,-17736,-18437,-18704,-18434,-19235,-18855,-19341,-19082,-20745,-20999,-21412,-21086,-22189,-21261,-20777,-20478,-16559,-13012,-11525,-14137,-23063,-22423,-20382,-23273,-22957,-21896,-21971,-22030,-22568,-21155,-23673,-21995,-20657,-23007,-21542,-23014,-21156,-21093,-25310,-25227,-24801,-20704,-19562,-19756
83,-8796,-6738,-1645,-7619,-7405,-9194,-4567,-7222,-6859,-4881,-13550,-7523,-9419,-8084,-8484,-14322,-11496,-13266,-11634,-1120,-11710,-13232,-14928,-14847,-12957,-11760,-12088,-11982,-9353,-17705,-17177,-18299,-16624,-18459,-17955,-18236,-18809,-18727,-19639,-21699,-20540,-22315,-20949,-22433,-21686,-21467,-21052,-16904,-12739,-11464,-14953,-25510,-21107,-22875,-23028,-24756,-26289,-25679,-25540,-22885,-23320,-24142,-22553,-23870,-22843,-24163,-23409,-21779,-26048,-26841,-26453,-25080,-21450,-21377
84,-7794,-6328,-3618,-6564,-7286,-8058,-5331,-6827,-7417,-5959,-11501,-8293,-8788,-8820,-9354,-12487,-11552,-12078,-11176,-1977,-11682,-13052,-15204,-14115,-12267,-11290,-11981,-12567,-9089,-23980,-15950,-17682,-16295,-16600,-18009,-16868,-18084,-18003,-19171,-19045,-20539,-20975,-22154,-20928,-22093,-22183,-22765,-21751,-16636,-12582,-12018,-16051,-23631,-23895,-23620,-23842,-24760,-25386,-24856,-27331,-24577,-23726,-25146,-26111,-23721,-25369,-24474,-24097,-26972,-26648,-28178,-26378,-25696,-23652
85,-6796,-5697,-5087,-5629,-7018,-6862,-5947,-6327,-7682,-6671,-9593,-8815,-8100,-9190,-9898,-10651,-11468,-10941,-10481,-16240,-24049,-24544,-22013,-20529,-20796,-23041,-24638,-25407,-28931,-28621,-15505,-16125,-15512,-16120,-15964,-16793,-16353,-17164,-17985,-18623,-18585,-20584,-20734,-21529,-20689,-22524,-22934,-22664,-21415,-16052,-13126,-12891,-14943,-24688,-23590,-24044,-23730,-24298,-24401,-24763,-25826,-24759,-24454,-28342,-25425,-26048,-25957,-25479,-29722,-27256,-28066,-27656,-27072,-28331
86,-5745,-5163,-6152,-4733,-6575,-5766,-6311,-5786,-7750,-7131,-7885,-8930,-7322,-9224,-10111,-8916,-11032,-9753,-9659,-14910,-8345,-9725,-8867,-11747,-11440,-11456,-10239,-10848,-13281,-7157,-14126,-15443,-14294,-15034,-14726,-14208,-16349,-15272,-17052,-20059,-17852,-18398,-19981,-19869,-21176,-20915,-22990,-22857,-22492,-20355,-16522,-14004,-12122,-16282,-24301,-24823,-24886,-24524,-23930,-24950,-26052,-25640,-25238,-27475,-27781,-28184,-26318,-26386,-30640,-29612,-28688,-27607,-28572,-29480
87,-4708,-4730,-6996,-3941,-6121,-4672,-6289,-5305,-7596,-7330,-6210,-8752,-6422,-9082,-10160,-7237,-10316,-8162,-8774,-13567,-8003,-9206,-9008,-10679,-10302,-10385,-9673,-10660,-11868,-9122,-12315,-13862,-13128,-13687,-13778,-13245,-13503,-14797,-15097,-18071,-16458,-17435,-17772,-19284,-19369,-20845,-21110,-22839,-21987,-23127,-21449,-17954,-12295,-12663,-15832,-24903,-25670,-25968,-24160,-25232,-26639,-25764,-25633,-28228,-26117,-30134,-27664,-26823,-31368,-30221,-31176,-27643,-28255,-29218
88,-3804,-4205,-7274,-3131,-5573,-3585,-6133,-4835,-7165,-7136,-4693,-8356,-5585,-8791,-9780,-5677,-9517,-6504,-7808,-12356,-7521,-8542,-8839,-9552,-9144,-9272,-8979,-10232,-10457,-11774,-11060,-11932,-11702,-12308,-12127,-12158,-12386,-12349,-14381,-14418,-15063,-15694,-16647,-16611,-18012,-18909,-20478,-19917,-21453,-21445,-22039,-23728,-15650,-12975,-12021,-16083,-25685,-26842,-26823,-25581,-26530,-25770,-25533,-28192,-26610,-28622,-29064,-27872,-31421,-30594,-31563,-29492,-27411,-27727
89,-2989,-3722,-7077,-2333,-4911,-2607,-5866,-4276,-6524,-6648,-3429,-7668,-4839,-8254,-9018,-4333,-8140,-5094,-6863,-11130,-6896,-7759,-8391,-8390,-7978,-8154,-8179,-9589,-9073,-15205,-10021,-10704,-9688,-10823,-10786,-10474,-10996,-10854,-11450,-13034,-12785,-14068,-14449,-15368,-15570,-17317,-18209,-19537,-18937,-20050,-23896,-24832,-20350,-16187,-12131,-11916,-16116,-22398,-23762,-27546,-26389,-24998,-25188,-28010,-26430,-28614,-27709,-29576,-32287,-29913,-31585,-28798,-28895,-26681
90,-2271,-3351,-6780,-1748,-4251,-1881,-5425,-3615,-5800,-6033,-2391,-6963,-4263,-7397,-8073,-3223,-6743,-3884,-5939,-11803,-8746,-10285,-9744,-10383,-12033,-13445,-13953,-13437,-14029,-648,6446,1048,1029,-225,1795,-817,-5625,-4189,-5206,-15627,-11946,-12115,-13143,-13110,-14490,-14738,-16765,-16786,-17577,-16914,-20607,-21933,-18624,-19816,-14668,-11920,-11730,-15674,-22057,-23998,-24734,-24611,-24228,-27134,-25197,-27495,-26701,-26756,-33169,-29469,-30543,-28588,-28285,-27723
